action1,action2,benchmark_count,record_count,avg_speedup_vs_action2,min_speedup_vs_action2,max_speedup_vs_action2
function(alignment-from-assumptions),expand-variadics,20,20,0.180420763,0.016060258,0.379730322
wholeprogramdevirt,globalopt,20,20,0.180398924,0.017193463,0.366058806
constmerge,dxil-upgrade,20,20,0.180383882,0.015545619,0.388248776
function(kcfi),ctx-prof-flatten,20,20,0.180287238,0.010263980,0.396721327
function(sroa),global-merge-func,20,20,0.180201113,0.016156720,0.364282905
ipsccp,forceattrs,20,20,0.180177790,0.015540872,0.391519587
function(lcssa),hotcoldsplit,20,20,0.180115447,0.015131287,0.375982022
function(scalarizer),elim-avail-extern,20,20,0.180078481,0.016238691,0.390999870
function(partially-inline-libcalls),dxil-upgrade,20,20,0.179944646,0.017823997,0.398080639
lowertypetests,dxil-upgrade,20,20,0.179905462,0.013570995,0.366845395
function(expand-large-div-rem),extract-blocks,20,20,0.179883203,0.035229364,0.350577187
hotcoldsplit,hipstdpar-interpose-alloc,20,20,0.179752405,0.027569437,0.307367160
function(objc-arc),coro-early,20,20,0.179628792,0.011913249,0.422541900
name-anon-globals,hotcoldsplit,20,20,0.179564388,0.021807471,0.378014782
function(prof-inject),cross-dso-cfi,20,20,0.179547004,0.017068518,0.376285948
extract-blocks,declare-runtime-libcalls,20,20,0.179543267,0.010228881,0.369789947
function(safe-stack),constmerge,20,20,0.179529433,0.010053176,0.387370412
function(wasm-eh-prepare),inliner-wrapper-no-mandatory-first,20,20,0.179510827,0.026661120,0.366328491
function(lower-widenable-condition),coro-early,20,20,0.179426785,0.018278246,0.374836473
function(separate-const-offset-from-gep),coro-cleanup,20,20,0.179332213,0.012891829,0.380192548
function(chr),constmerge,20,20,0.179163195,0.017536461,0.420667966
function(lower-atomic),dxil-upgrade,20,20,0.179136160,0.011635817,0.403377803
function(win-eh-prepare),constmerge,20,20,0.179135206,0.023009424,0.389269847
function(sccp),cross-dso-cfi,20,20,0.179116053,0.016266549,0.389545079
function(slsr),forceattrs,20,20,0.179107568,0.019964592,0.349961226
function(lower-invoke),global-merge-func,20,20,0.179009997,0.012832831,0.358244695
function(partially-inline-libcalls),forceattrs,20,20,0.178900367,0.011120417,0.380685071
function(win-eh-prepare),global-merge-func,20,20,0.178785931,0.021587394,0.393353691
function(interleaved-load-combine),expand-variadics,20,20,0.178620420,0.014978894,0.385051999
function(loop(loop-instsimplify)),coro-cleanup,20,20,0.178594525,0.016879271,0.429466486
function(constraint-elimination),global-merge-func,20,20,0.178585434,0.015282506,0.383171027
function(jump-threading),hotcoldsplit,20,20,0.178532072,0.015767930,0.344648161
function(kernel-info),coro-early,20,20,0.178488015,0.014080947,0.411685070
function(add-discriminators),global-merge-func,20,20,0.178465992,0.012705138,0.393591279
cgscc(function-attrs),dxil-upgrade,20,20,0.178436739,0.011340354,0.398772151
rewrite-symbols,globalopt,20,20,0.178407256,0.013993290,0.339195067
function(mergereturn),declare-runtime-libcalls,20,20,0.178394903,0.028149957,0.383461764
ipsccp,expand-variadics,20,20,0.178323814,0.012371873,0.388628476
function(div-rem-pairs),constmerge,20,20,0.178312731,0.010190830,0.399079681
function(expand-memcmp),expand-variadics,20,20,0.178239941,0.014470388,0.357382053
function(annotation-remarks),elim-avail-extern,20,20,0.178190028,0.012544213,0.394662810
function(nary-reassociate),coro-early,20,20,0.178135849,0.011857713,0.418092704
function(load-store-vectorizer),deadargelim,20,20,0.178122178,0.012675066,0.371900395
function(wasm-eh-prepare),constmerge,20,20,0.178101789,0.019895437,0.407917872
function(extra-vector-passes),forceattrs,20,20,0.177992802,0.010328590,0.385554776
function(callbr-prepare),dxil-upgrade,20,20,0.177920100,0.016913636,0.409392196
function(move-auto-init),globalopt,20,20,0.177893153,0.014853345,0.338976737
function(flatten-cfg),global-merge-func,20,20,0.177664336,0.016492689,0.382083718
function(gvn),global-merge-func,20,20,0.177634746,0.013862462,0.376258444
name-anon-globals,dxil-upgrade,20,20,0.177535920,0.010183574,0.356393730
partial-inliner,constmerge,20,20,0.177429231,0.012073916,0.402946943
expand-variadics,elim-avail-extern,20,20,0.177414933,0.015214203,0.395581464
lower-global-dtors,cross-dso-cfi,20,20,0.177406805,0.019734007,0.357021326
strip-nondebug,cross-dso-cfi,20,20,0.177402995,0.010648859,0.389219817
lower-ifunc,globalopt,20,20,0.177374866,0.010454639,0.324440339
function(instcombine),cross-dso-cfi,20,20,0.177335120,0.014716402,0.402319809
function(kernel-info),declare-runtime-libcalls,20,20,0.177322103,0.010060283,0.396928842
cgscc(attributor-light-cgscc),hipstdpar-interpose-alloc,20,20,0.177158360,0.012196392,0.327624271
function(loop(evl-iv-simplify)),inferattrs,20,20,0.177078479,0.025041045,0.362567802
function(cfguard),globalopt,20,20,0.176983574,0.028070581,0.333518582
function(load-store-vectorizer),global-merge-func,20,20,0.176978935,0.021626420,0.373296773
inliner-wrapper,global-merge-func,20,20,0.176959931,0.018788489,0.360483311
rewrite-symbols,deadargelim,20,20,0.176808254,0.011152683,0.383974319
recompute-globalsaa,forceattrs,20,20,0.176784636,0.010884426,0.398943495
function(sroa),inferattrs,20,20,0.176750377,0.020152391,0.382906563
dxil-upgrade,declare-runtime-libcalls,20,20,0.176741097,0.012769911,0.388934164
cg-profile,inferattrs,20,20,0.176661395,0.033016892,0.336275649
function(tailcallelim),inliner-wrapper-no-mandatory-first,20,20,0.176499351,0.018907563,0.386847015
function(tailcallelim),coro-cleanup,20,20,0.176366110,0.010868789,0.417073677
function(slsr),expand-variadics,20,20,0.176364346,0.011669904,0.356268166
function(loop(loop-rotate)),canonicalize-aliases,20,20,0.176122530,0.011767706,0.405922782
function(move-auto-init),inferattrs,20,20,0.176113358,0.021694659,0.354286045
function(jump-table-to-switch),global-merge-func,20,20,0.176043150,0.010748245,0.405802136
function(loop-distribute),dxil-upgrade,20,20,0.176014896,0.016162202,0.392882945
function(scalarizer),global-merge-func,20,20,0.175937751,0.010048846,0.390626366
function(make-guards-explicit),inferattrs,20,20,0.175926009,0.025365664,0.385124413
function(unreachableblockelim),deadargelim,20,20,0.175859320,0.011945232,0.402493729
embed-bitcode,hotcoldsplit,20,20,0.175709779,0.013803919,0.363927156
function(atomic-expand),globalopt,20,20,0.175687044,0.013140678,0.354614713
function(mergeicmps),deadargelim,20,20,0.175680833,0.012657711,0.383259004
function(loop(simple-loop-unswitch)),hipstdpar-interpose-alloc,20,20,0.175530208,0.019261007,0.353149103
function(infer-alignment),dxil-upgrade,20,20,0.175501735,0.013948195,0.400780702
function(callbr-prepare),hipstdpar-interpose-alloc,20,20,0.175466854,0.014883690,0.332674053
partial-inliner,global-merge-func,20,20,0.175261910,0.011092431,0.402558047
function(loop(loop-simplifycfg)),declare-runtime-libcalls,20,20,0.175248604,0.012049592,0.409004989
function(slp-vectorizer),always-inline,20,20,0.175227636,0.015542028,0.431493788
annotation2metadata,forceattrs,20,20,0.175148915,0.013852576,0.372943005
function(loop(loop-deletion)),inferattrs,20,20,0.175016174,0.031896808,0.364878911
annotation2metadata,coro-early,20,20,0.174937344,0.015988004,0.380039101
strip-debug-declare,coro-early,20,20,0.174925191,0.010947192,0.418719717
function(interleaved-access),deadargelim,20,20,0.174915405,0.010047926,0.378478646
function(nary-reassociate),globalopt,20,20,0.174874738,0.011855527,0.321508242
function(objc-arc-contract),deadargelim,20,20,0.174839926,0.012956051,0.371334430
strip-dead-debug-info,constmerge,20,20,0.174729619,0.014106420,0.420439334
function(aggressive-instcombine),dxil-upgrade,20,20,0.174723511,0.010193549,0.380383068
function(partially-inline-libcalls),coro-cleanup,20,20,0.174713004,0.014634365,0.388915322
function(alignment-from-assumptions),forceattrs,20,20,0.174677509,0.022818605,0.379562676
function(break-crit-edges),dxil-upgrade,20,20,0.174649982,0.015748450,0.397471971
globaldce,coro-cleanup,20,20,0.174557685,0.012808595,0.390426993
function(loop-vectorize),always-inline,20,20,0.174509908,0.012397763,0.445042737
function(gc-lowering),coro-early,20,20,0.174454055,0.014391590,0.379164234
global-merge-func,hotcoldsplit,20,20,0.174427382,0.014318375,0.350563299
function(loop(extra-simple-loop-unswitch-passes)),constmerge,20,20,0.174348101,0.021464659,0.383896784
simplify-type-tests,globalopt,20,20,0.174295288,0.010897150,0.341448375
function(instcombine),coro-early,20,20,0.174279559,0.010994585,0.394717181
function(kcfi),hotcoldsplit,20,20,0.174224024,0.011869160,0.367601410
function(sccp),hotcoldsplit,20,20,0.174172076,0.028603884,0.334999578
recompute-globalsaa,jmc-instrumenter,20,20,0.174089726,0.020301698,0.334418318
expand-variadics,expand-variadics,20,20,0.174084579,0.016899670,0.402104355
function(loop(loop-reduce)),hipstdpar-interpose-alloc,20,20,0.174077450,0.018018464,0.359200807
function(loop(guard-widening)),declare-runtime-libcalls,20,20,0.173948867,0.010922992,0.403961938
function(transform-warning),inliner-wrapper-no-mandatory-first,20,20,0.173901615,0.012105990,0.367372858
function(objc-arc),forceattrs,20,20,0.173859300,0.013793440,0.353381825
function(loop-sink),constmerge,20,20,0.173843988,0.017258588,0.384079960
rel-lookup-table-converter,global-merge-func,20,20,0.173832334,0.010390012,0.383519608
function(interleaved-access),coro-early,20,20,0.173791669,0.014083859,0.401670106
function(place-safepoints),coro-early,20,20,0.173791162,0.012971578,0.428487785
function(loop-unroll),global-merge-func,20,20,0.173749908,0.010950403,0.400407238
function(lower-widenable-condition),global-merge-func,20,20,0.173700877,0.012454040,0.356126470
function(infer-alignment),cross-dso-cfi,20,20,0.173664575,0.011682757,0.374250838
function(structurizecfg),global-merge-func,20,20,0.173652153,0.012236271,0.353054758
lower-global-dtors,hipstdpar-interpose-alloc,20,20,0.173594384,0.019996417,0.274534509
function(loop-sink),hotcoldsplit,20,20,0.173538654,0.013581651,0.365603378
function(loop(simple-loop-unswitch)),forceattrs,20,20,0.173532266,0.010848160,0.362475076
function(dfa-jump-threading),constmerge,20,20,0.173519821,0.011321240,0.396118361
annotation2metadata,inliner-wrapper-no-mandatory-first,20,20,0.173505043,0.010670731,0.334021636
function(loop(guard-widening)),constmerge,20,20,0.173259794,0.015993309,0.397735529
function(declare-to-assign),coro-cleanup,20,20,0.173139727,0.010020071,0.407674023
ipsccp,extract-blocks,20,20,0.173048575,0.012023242,0.378597636
strip-dead-debug-info,hotcoldsplit,20,20,0.173001857,0.012265635,0.376888549
function(loop(loop-deletion)),hotcoldsplit,20,20,0.172979958,0.012701336,0.366521054
declare-runtime-libcalls,hipstdpar-interpose-alloc,20,20,0.172738221,0.010056895,0.313808077
inliner-wrapper-no-mandatory-first,deadargelim,20,20,0.172621836,0.014403675,0.381946790
rewrite-symbols,hotcoldsplit,20,20,0.172584431,0.013203840,0.347003447
function(loop-data-prefetch),jmc-instrumenter,20,20,0.172571873,0.016519390,0.322810831
function(mergeicmps),global-merge-func,20,20,0.172521939,0.010427523,0.371023951
function(gvn-sink),global-merge-func,20,20,0.172489370,0.016672911,0.373672202
function(expand-reductions),extract-blocks,20,20,0.172468843,0.024776678,0.380287252
function(sccp),globalopt,20,20,0.172438513,0.010005789,0.331061382
function(irce),coro-early,20,20,0.172403207,0.011500406,0.389616948
simplify-type-tests,global-merge-func,20,20,0.172358708,0.012429439,0.395583612
global-merge,hotcoldsplit,20,20,0.172352829,0.016929858,0.335619269
function(hardware-loops),declare-runtime-libcalls,20,20,0.172294339,0.012119429,0.377373294
function(win-eh-prepare),expand-variadics,20,20,0.172252057,0.010884189,0.363368805
function(slp-vectorizer),coro-cleanup,20,20,0.172240797,0.014556199,0.404274765
function(constraint-elimination),noinline-nonprevailing,20,20,0.172234582,0.010209696,0.429999554
assign-guid,extract-blocks,20,20,0.172174407,0.017646949,0.358362283
function(cfguard),inliner-wrapper-no-mandatory-first,20,20,0.172172781,0.012878151,0.372836391
function(stack-protector),global-merge-func,20,20,0.172155929,0.011968635,0.347164345
function(loop(guard-widening)),forceattrs,20,20,0.172092501,0.013182099,0.389926894
dxil-upgrade,deadargelim,20,20,0.172058670,0.013105506,0.412249751
function(unreachableblockelim),declare-runtime-libcalls,20,20,0.171952776,0.010426585,0.359925218
loop-extract,globalopt,20,20,0.171841961,0.012713121,0.328543643
globalopt,inliner-wrapper,20,20,0.171805829,0.016477218,0.353582677
function(loop-unroll),coro-cleanup,20,20,0.171677782,0.013921053,0.417841092
pre-isel-intrinsic-lowering,constmerge,20,20,0.171567357,0.016044447,0.396968314
function(lower-widenable-condition),jmc-instrumenter,20,20,0.171499243,0.015796868,0.356230274
function(gvn-sink),dxil-upgrade,20,20,0.171494713,0.013977297,0.369467783
function(transform-warning),dxil-upgrade,20,20,0.171471205,0.016599502,0.377890239
function(lower-widenable-condition),dxil-upgrade,20,20,0.171464507,0.011048893,0.370674881
function(sccp),coro-early,20,20,0.171461611,0.015067896,0.368948147
function(loop-sink),dxil-upgrade,20,20,0.171459005,0.014820753,0.401941387
lower-global-dtors,hotcoldsplit,20,20,0.171312123,0.017658721,0.372763936
function(objc-arc-contract),hotcoldsplit,20,20,0.171246851,0.014318276,0.340166871
function(memcpyopt),dxil-upgrade,20,20,0.171126277,0.010653073,0.362624304
function(wasm-eh-prepare),declare-runtime-libcalls,20,20,0.171125947,0.018398659,0.375135148
function(callbr-prepare),globalopt,20,20,0.171115998,0.013949804,0.331358426
function(lower-expect),deadargelim,20,20,0.171008250,0.011208846,0.393655502
function(loop(loop-deletion)),constmerge,20,20,0.170997675,0.013066296,0.391770442
function(lower-guard-intrinsic),global-merge-func,20,20,0.170822842,0.015466607,0.361924275
function(fix-irreducible),hotcoldsplit,20,20,0.170775805,0.015637892,0.372569529
function(guard-widening),global-merge-func,20,20,0.170732646,0.025683519,0.341151131
function(separate-const-offset-from-gep),inliner-wrapper-no-mandatory-first,20,20,0.170669433,0.011296408,0.362524690
always-inline,hipstdpar-interpose-alloc,20,20,0.170665192,0.017821267,0.356481604
function(mergeicmps),dxil-upgrade,20,20,0.170648189,0.012314377,0.397269615
function(objc-arc-contract),extract-blocks,20,20,0.170629128,0.023246339,0.354272055
recompute-globalsaa,dxil-upgrade,20,20,0.170526827,0.014427743,0.399171005
ipsccp,inliner-wrapper-no-mandatory-first,20,20,0.170462839,0.011062611,0.371999678
function(place-safepoints),global-merge-func,20,20,0.170437314,0.017274283,0.399569792
function(infer-address-spaces),dxil-upgrade,20,20,0.170434268,0.020403132,0.393450677
function(unreachableblockelim),hipstdpar-interpose-alloc,20,20,0.170354050,0.018545817,0.338181338
function(place-safepoints),lower-emutls,20,20,0.170345560,0.023374954,0.329163670
function(gc-lowering),inliner-wrapper-no-mandatory-first,20,20,0.170336320,0.011433635,0.349397139
function(ee-instrument),constmerge,20,20,0.170275311,0.015645717,0.418308412
function(vector-combine),globalopt,20,20,0.170268618,0.031864649,0.299863285
function(lower-invoke),hipstdpar-interpose-alloc,20,20,0.170261051,0.011366236,0.330010473
forceattrs,hotcoldsplit,20,20,0.170246412,0.011267959,0.355227065
function(structurizecfg),hipstdpar-interpose-alloc,20,20,0.170134924,0.010871276,0.367702303
function(scalarizer),declare-runtime-libcalls,20,20,0.170071143,0.014596765,0.365226578
function(early-cse),coro-early,20,20,0.170068323,0.011067314,0.394305828
function(simplifycfg),hipstdpar-interpose-alloc,20,20,0.169995490,0.014549244,0.328081875
function(jump-table-to-switch),coro-early,20,20,0.169923290,0.011245937,0.387418563
function(callsite-splitting),extract-blocks,20,20,0.169910472,0.011044108,0.368156154
function(instcombine),hipstdpar-interpose-alloc,20,20,0.169794004,0.019563502,0.296611761
function(stack-protector),globalopt,20,20,0.169530378,0.014077766,0.334713772
function(simplifycfg),inferattrs,20,20,0.169522088,0.024397681,0.354961737
strip-dead-cg-profile,extract-blocks,20,20,0.169518780,0.010821616,0.366808816
function(kcfi),hipstdpar-interpose-alloc,20,20,0.169501156,0.011379541,0.304236964
function(lower-allow-check),hipstdpar-interpose-alloc,20,20,0.169475963,0.010306619,0.313323120
function(lcssa),global-merge-func,20,20,0.169458735,0.010056807,0.392738208
function(lower-invoke),hotcoldsplit,20,20,0.169453293,0.018387560,0.350656712
globaldce,inliner-wrapper,20,20,0.169443600,0.012723835,0.311411076
function(bdce),hipstdpar-interpose-alloc,20,20,0.169432637,0.010570689,0.304493360
function(loop-versioning),forceattrs,20,20,0.169390902,0.010071472,0.381819512
global-merge-func,inferattrs,20,20,0.169300813,0.012783612,0.371225224
function(indirectbr-expand),constmerge,20,20,0.169266680,0.010901642,0.405097548
hotcoldsplit,dxil-upgrade,20,20,0.169212984,0.014027561,0.343301249
function(gvn),dxil-upgrade,20,20,0.169101332,0.012518675,0.381945892
function(expand-memcmp),coro-cleanup,20,20,0.169069139,0.010492903,0.384825247
function(loop(simple-loop-unswitch)),inliner-wrapper-no-mandatory-first,20,20,0.168966892,0.014958249,0.363277604
declare-runtime-libcalls,dxil-upgrade,20,20,0.168946998,0.012086378,0.394087105
function(loop(indvars)),extract-blocks,20,20,0.168861833,0.011353691,0.382336586
function(cfguard),expand-variadics,20,20,0.168850489,0.013690792,0.377542118
function(slp-vectorizer),canonicalize-aliases,20,20,0.168801721,0.011965218,0.358700428
function(stack-protector),coro-cleanup,20,20,0.168658858,0.011795925,0.377991618
function(libcalls-shrinkwrap),global-merge-func,20,20,0.168577697,0.022292247,0.370814942
mergefunc,hipstdpar-interpose-alloc,20,20,0.168397017,0.012653217,0.332189163
function(loop(guard-widening)),inliner-wrapper,20,20,0.168392894,0.010061241,0.337815089
globalopt,constmerge,20,20,0.168343337,0.013599315,0.412751215
rewrite-statepoints-for-gc,inliner-wrapper-no-mandatory-first,20,20,0.168334956,0.013930045,0.357042195
function(extra-vector-passes),coro-early,20,20,0.168330619,0.011175156,0.402758234
function(nary-reassociate),hipstdpar-interpose-alloc,20,20,0.168299362,0.015610447,0.316628529
always-inline,declare-runtime-libcalls,20,20,0.168286351,0.010017808,0.393682574
cgscc(function-attrs),hipstdpar-interpose-alloc,20,20,0.168237450,0.010663858,0.333707096
name-anon-globals,constmerge,20,20,0.168135146,0.011963384,0.443410529
function(nary-reassociate),inferattrs,20,20,0.168008560,0.014462198,0.328595658
strip-debug-declare,global-merge-func,20,20,0.167921579,0.014100699,0.382226481
function(irce),globalsplit,20,20,0.167852794,0.010459498,0.379228680
function(objc-arc-expand),hipstdpar-interpose-alloc,20,20,0.167836415,0.012365291,0.312836426
function(make-guards-explicit),declare-runtime-libcalls,20,20,0.167784597,0.014146780,0.361344330
called-value-propagation,annotation2metadata,20,20,0.167778161,0.016189663,0.402917632
global-merge,coro-cleanup,20,20,0.167692734,0.010036611,0.402462483
function(mldst-motion),elim-avail-extern,20,20,0.167672383,0.011651712,0.354852154
function(callbr-prepare),lower-global-dtors,20,20,0.167614446,0.013227258,0.346963652
strip-dead-prototypes,hipstdpar-interpose-alloc,20,20,0.167609566,0.011409005,0.319185272
coro-early,attributor-light,20,20,0.167593288,0.028572265,0.369655062
coro-early,extract-blocks,20,20,0.167573710,0.011019828,0.361845112
function(callbr-prepare),extract-blocks,20,20,0.167485004,0.013089465,0.360704661
function(transform-warning),coro-cleanup,20,20,0.167476194,0.011213993,0.409517462
function(loop(loop-idiom-vectorize)),declare-runtime-libcalls,20,20,0.167269417,0.012521529,0.404891956
function(extra-vector-passes),dxil-upgrade,20,20,0.167165302,0.012938693,0.362109745
function(loop-sink),hipstdpar-interpose-alloc,20,20,0.167089770,0.018416633,0.297533575
function(gvn-hoist),globalopt,20,20,0.167089533,0.012472275,0.328993131
function(loop(loop-unroll-full)),inferattrs,20,20,0.167083699,0.021094785,0.347851457
function(loop(guard-widening)),dxil-upgrade,20,20,0.166973637,0.010614041,0.360668765
cgscc(function-attrs),globalsplit,20,20,0.166894210,0.013850817,0.334588759
function(prof-inject),hipstdpar-interpose-alloc,20,20,0.166737937,0.012742913,0.335604008
function(complex-deinterleaving),globalopt,20,20,0.166730973,0.010830709,0.348669461
function(sroa),hotcoldsplit,20,20,0.166730080,0.011470627,0.364394213
strip-nonlinetable-debuginfo,extract-blocks,20,20,0.166678791,0.010791974,0.350406256
function(lower-allow-check),coro-early,20,20,0.166604488,0.013845134,0.383946767
function(expand-memcmp),globalsplit,20,20,0.166602700,0.014548555,0.346670545
scc-oz-module-inliner,jmc-instrumenter,20,20,0.166557478,0.013568729,0.366992256
function(reg2mem),annotation2metadata,20,20,0.166459029,0.011446838,0.356226018
function(loop(loop-idiom-vectorize)),forceattrs,20,20,0.166348202,0.015381410,0.358087130
function(jump-threading),globalsplit,20,20,0.166313766,0.010856508,0.355288241
function(objc-arc-expand),inliner-wrapper-no-mandatory-first,20,20,0.166293576,0.030107911,0.358408427
function(unify-loop-exits),coro-early,20,20,0.166251182,0.010662586,0.368144714
function(annotation-remarks),inliner-wrapper,20,20,0.166248755,0.013000760,0.338723749
function(make-guards-explicit),inliner-wrapper-no-mandatory-first,20,20,0.166069257,0.019087005,0.365729685
dxil-upgrade,hotcoldsplit,20,20,0.166068272,0.018206147,0.370684604
function(lcssa),jmc-instrumenter,20,20,0.166041569,0.019908372,0.326318610
cg-profile,hotcoldsplit,20,20,0.165916132,0.018202386,0.357717544
jmc-instrumenter,deadargelim,20,20,0.165907419,0.012916658,0.385204888
canonicalize-aliases,hipstdpar-interpose-alloc,20,20,0.165870289,0.018938252,0.317106690
strip-debug-declare,inferattrs,20,20,0.165810831,0.030877821,0.308859016
function(loop(loop-predication)),declare-runtime-libcalls,20,20,0.165557582,0.019390585,0.378744202
function(atomic-expand),annotation2metadata,20,20,0.165459719,0.016354321,0.397521599
function(annotation-remarks),hipstdpar-interpose-alloc,20,20,0.165441877,0.016201070,0.317578823
function(make-guards-explicit),lower-emutls,20,20,0.165376312,0.031024789,0.301399292
strip-nonlinetable-debuginfo,inliner-wrapper-no-mandatory-first,20,20,0.165362114,0.028597071,0.364180286
strip-nondebug,globalsplit,20,20,0.165345927,0.013193926,0.329953805
function(loop(loop-bound-split)),inliner-wrapper,20,20,0.165301524,0.012932032,0.316572051
function(wasm-eh-prepare),hotcoldsplit,20,20,0.165281518,0.011426638,0.328102063
function(loop(guard-widening)),globalopt,20,20,0.165226484,0.014682183,0.324133818
function(sjlj-eh-prepare),ctx-prof-flatten,20,20,0.165147475,0.010875771,0.415009322
openmp-opt,jmc-instrumenter,20,20,0.165039377,0.026762425,0.352276469
function(jump-threading),globalopt,20,20,0.164995109,0.011428012,0.346565260
function(scalarizer),hipstdpar-interpose-alloc,20,20,0.164848502,0.010933738,0.348710454
cgscc(argpromotion),jmc-instrumenter,20,20,0.164770520,0.011637743,0.360881617
inliner-wrapper-no-mandatory-first,extract-blocks,20,20,0.164660803,0.016411435,0.365583438
strip-debug-declare,inliner-wrapper,20,20,0.164630848,0.015705713,0.329793414
function(extra-vector-passes),globalsplit,20,20,0.164623319,0.013519276,0.328212171
function(lower-constant-intrinsics),lower-emutls,20,20,0.164541526,0.016628823,0.275987979
function(sandbox-vectorizer),coro-cleanup,20,20,0.164511873,0.011242422,0.383455148
function(hardware-loops),hotcoldsplit,20,20,0.164480219,0.013699878,0.348266288
function(interleaved-load-combine),extract-blocks,20,20,0.164472847,0.010258942,0.389206438
fatlto-cleanup,inliner-wrapper-no-mandatory-first,20,20,0.164437466,0.014961603,0.365317114
function(loop(simple-loop-unswitch)),hipstdpar-math-fixup,20,20,0.164405337,0.018170238,0.346945062
function(scalarizer),hotcoldsplit,20,20,0.164365933,0.010520720,0.347832188
function(loop-data-prefetch),inferattrs,20,20,0.164349308,0.012601567,0.346266584
function(interleaved-access),extract-blocks,20,20,0.164335375,0.012682340,0.385423813
function(infer-alignment),hipstdpar-interpose-alloc,20,20,0.164322952,0.013010735,0.367841237
function(flatten-cfg),lower-emutls,20,20,0.164260033,0.057754916,0.290077081
function(instcombine),extract-blocks,20,20,0.164248496,0.012188026,0.335376417
function(loop(loop-instsimplify)),globalopt,20,20,0.164238452,0.018433205,0.338877220
function(dse),globalsplit,20,20,0.164190523,0.010349515,0.340490079
canonicalize-aliases,assign-guid,20,20,0.164044304,0.012447322,0.332850124
function(lower-guard-intrinsic),extract-blocks,20,20,0.164039283,0.011817607,0.365635630
lower-emutls,hotcoldsplit,20,20,0.163963122,0.016796389,0.342182633
elim-avail-extern,dxil-upgrade,20,20,0.163923880,0.012649609,0.357190304
function(sink),jmc-instrumenter,20,20,0.163889798,0.019375551,0.308358211
function(transform-warning),jmc-instrumenter,20,20,0.163813351,0.021994059,0.335312070
hipstdpar-math-fixup,globalsplit,20,20,0.163806856,0.022236646,0.315009282
attributor-light,extract-blocks,20,20,0.163795202,0.010092227,0.354598184
hotcoldsplit,extract-blocks,20,20,0.163774469,0.010495280,0.354017020
function(slsr),canonicalize-aliases,20,20,0.163737137,0.012012796,0.372102763
rewrite-symbols,global-merge-func,20,20,0.163735158,0.010207558,0.387335364
cgscc(function-attrs),inliner-wrapper,20,20,0.163588493,0.010623430,0.343494788
pre-isel-intrinsic-lowering,jmc-instrumenter,20,20,0.163580186,0.023310395,0.330178963
function(indirectbr-expand),inliner-wrapper-no-mandatory-first,20,20,0.163578578,0.010700326,0.380008875
function(lower-allow-check),constmerge,20,20,0.163563161,0.013544340,0.380400669
function(mem2reg),inferattrs,20,20,0.163538099,0.010650156,0.377648092
elim-avail-extern,forceattrs,20,20,0.163463871,0.017520663,0.353624866
shadow-stack-gc-lowering,extract-blocks,20,20,0.163447568,0.013740894,0.332208815
function(load-store-vectorizer),inliner-wrapper-no-mandatory-first,20,20,0.163416924,0.013814069,0.376216222
function(win-eh-prepare),hotcoldsplit,20,20,0.163361741,0.015104277,0.351316713
function(irce),coro-cleanup,20,20,0.163215998,0.010972085,0.368078478
cross-dso-cfi,inferattrs,20,20,0.163135142,0.014105617,0.340885094
function(jump-threading),extract-blocks,20,20,0.163116440,0.010921075,0.371518383
function(prof-inject),hipstdpar-math-fixup,20,20,0.163028439,0.011903065,0.339514287
function(bounds-checking),inliner-wrapper,20,20,0.162990448,0.021499410,0.333892927
function(scalarize-masked-mem-intrin),inferattrs,20,20,0.162969330,0.014559305,0.369333483
function(typepromotion),forceattrs,20,20,0.162941359,0.013104231,0.367030296
canonicalize-aliases,inliner-wrapper-no-mandatory-first,20,20,0.162799688,0.016444188,0.361062187
function(guard-widening),globalopt,20,20,0.162786256,0.017519137,0.326863055
forceattrs,attributor-light,20,20,0.162778913,0.030822232,0.341730868
function(loop(loop-idiom)),hotcoldsplit,20,20,0.162654880,0.015555872,0.339487487
function(loop-load-elim),hipstdpar-math-fixup,20,20,0.162623210,0.011394242,0.343850635
declare-runtime-libcalls,inferattrs,20,20,0.162610199,0.027120019,0.349449128
function(loop-unroll),hotcoldsplit,20,20,0.162603567,0.011252677,0.330943948
function(loop(loop-simplifycfg)),constmerge,20,20,0.162413698,0.010530485,0.394474514
function(scalarize-masked-mem-intrin),globalsplit,20,20,0.162399435,0.010878468,0.363753536
function(loop(loop-bound-split)),coro-cleanup,20,20,0.162322044,0.011806957,0.397995284
function(win-eh-prepare),hipstdpar-interpose-alloc,20,20,0.162316290,0.011493138,0.292310144
function(lower-matrix-intrinsics),coro-cleanup,20,20,0.162262355,0.012286169,0.412899272
function(coro-elide),lower-emutls,20,20,0.162212571,0.012587702,0.358740248
rewrite-symbols,constmerge,20,20,0.162082474,0.012422593,0.427429333
function(objc-arc-contract),hipstdpar-interpose-alloc,20,20,0.162028081,0.010778077,0.345069236
function(sink),inferattrs,20,20,0.162017106,0.030225261,0.369685460
jmc-instrumenter,lower-global-dtors,20,20,0.161998136,0.011600462,0.342049067
function(loop(canon-freeze)),inliner-wrapper,20,20,0.161805433,0.013413503,0.353651216
function(float2int),inliner-wrapper-no-mandatory-first,20,20,0.161802836,0.015258703,0.353708538
function(reassociate),inferattrs,20,20,0.161632507,0.048146321,0.353896074
function(safe-stack),globalopt,20,20,0.161623178,0.023998261,0.344943783
