action1,action2,benchmark_count,record_count,avg_speedup_vs_action2,min_speedup_vs_action2,max_speedup_vs_action2
function(kcfi),hipstdpar-math-fixup,29,29,0.112281710,0.010173863,0.319055012
function(cfguard),function(loop(loop-term-fold)),29,29,0.111184069,0.015948453,0.264585073
canonicalize-aliases,function(loop(loop-term-fold)),29,29,0.110381618,0.015617453,0.303629966
function(vector-combine),function(loop(loop-term-fold)),29,29,0.110266081,0.010671019,0.278508770
function(loop(extra-simple-loop-unswitch-passes)),function(loop(loop-deletion)),29,29,0.109701117,0.012291935,0.292115802
function(declare-to-assign),function(loop(guard-widening)),29,29,0.109513461,0.010955530,0.267730420
module-inline,function(loop(loop-reduce)),29,29,0.109294604,0.011844357,0.243044143
function(lcssa),function(loop(loop-term-fold)),29,29,0.108812761,0.013211250,0.307356474
function(callsite-splitting),function(loop(loop-reduce)),29,29,0.108690690,0.013705332,0.200051475
function(loop(extra-simple-loop-unswitch-passes)),function(loop(loop-term-fold)),29,29,0.108644855,0.013115350,0.260069368
function(flatten-cfg),function(loop(loop-term-fold)),29,29,0.107766430,0.010371419,0.259332655
function(annotation-remarks),function(typepromotion),29,29,0.107316721,0.010991450,0.323053377
function(gvn),function(loop(loop-term-fold)),29,29,0.106945798,0.012872057,0.305350605
function(alignment-from-assumptions),function(typepromotion),29,29,0.106537258,0.011655574,0.301093611
function(gc-lowering),function(loop(loop-term-fold)),29,29,0.105939744,0.015884759,0.238705314
function(loop(evl-iv-simplify)),function(loop(loop-term-fold)),29,29,0.105926543,0.021240702,0.243642922
openmp-opt-postlink,function(loop(loop-deletion)),29,29,0.105487630,0.016682344,0.287448249
function(nary-reassociate),function(loop(loop-term-fold)),29,29,0.105473409,0.012106696,0.317440447
function(irce),function(typepromotion),29,29,0.105394186,0.017579626,0.314582440
globalopt,function(loop(loop-reduce)),29,29,0.105232799,0.010467039,0.202637671
function(safe-stack),function(loop(indvars)),29,29,0.104778359,0.015316204,0.317716531
function(infer-address-spaces),function(typepromotion),29,29,0.104451995,0.011750757,0.265476172
function(expand-reductions),function(typepromotion),29,29,0.104098586,0.012283541,0.289541253
inliner-wrapper-no-mandatory-first,function(loop(loop-versioning-licm)),29,29,0.103817903,0.014666718,0.232307176
function(objc-arc-contract),function(typepromotion),29,29,0.103382884,0.011712629,0.276073341
function(scalarizer),function(loop(loop-term-fold)),29,29,0.103232859,0.014215978,0.260435473
fatlto-cleanup,function(loop(loop-bound-split)),29,29,0.103071820,0.020431267,0.338339502
rewrite-symbols,function(loop(extra-simple-loop-unswitch-passes)),29,29,0.102849934,0.012835865,0.257507656
function(gc-lowering),function(loop(loop-reduce)),29,29,0.102776681,0.011563869,0.242681375
cross-dso-cfi,function(loop(guard-widening)),29,29,0.102749604,0.010922500,0.257577561
function(expand-memcmp),function(typepromotion),29,29,0.102374094,0.010438605,0.290218414
function(loop(loop-idiom)),function(loop(loop-versioning-licm)),29,29,0.102154402,0.012491446,0.241892910
function(loop(loop-predication)),function(loop(loop-predication)),29,29,0.101641071,0.017164553,0.207465848
function(loop(loop-term-fold)),function(loop(loop-predication)),29,29,0.101369175,0.011384913,0.209218452
function(extra-vector-passes),function(typepromotion),29,29,0.100893934,0.011110520,0.308606236
function(sink),function(loop(loop-term-fold)),29,29,0.100112548,0.011216908,0.267907994
canonicalize-aliases,function(loop(loop-reduce)),29,29,0.099892272,0.011243599,0.225744986
hipstdpar-math-fixup,function(loop(canon-freeze)),29,29,0.099844198,0.011699729,0.262946330
function(vector-combine),function(loop(loop-predication)),29,29,0.099590868,0.034748637,0.204934606
declare-runtime-libcalls,function(loop(loop-reduce)),29,29,0.099276753,0.012185331,0.217507102
function(adce),function(lower-matrix-intrinsics),29,29,0.098654085,0.010672100,0.243025095
globalopt,function(loop(loop-bound-split)),29,29,0.098544297,0.011523327,0.297079518
function(newgvn),function(loop(loop-reduce)),29,29,0.098327809,0.013230462,0.240439831
hotcoldsplit,function(loop(loop-versioning-licm)),29,29,0.097647086,0.011119364,0.211621692
always-inline,function(loop(canon-freeze)),29,29,0.097467395,0.010487403,0.308279284
strip,function(loop(loop-simplifycfg)),29,29,0.097386529,0.010084389,0.304713713
elim-avail-extern,function(loop(loop-reduce)),29,29,0.096893433,0.014263679,0.199839521
embed-bitcode,function(loop(extra-simple-loop-unswitch-passes)),29,29,0.096448332,0.014589035,0.236003200
cgscc(function-attrs),function(loop(loop-reduce)),29,29,0.096432286,0.016532187,0.204554624
function(unreachableblockelim),function(typepromotion),29,29,0.096368283,0.011106711,0.265167657
function(newgvn),function(loop-unroll),29,29,0.096114415,0.010884002,0.257093195
extract-blocks,function(loop(indvars)),29,29,0.095814421,0.011111999,0.267931587
globalsplit,function(loop(canon-freeze)),29,29,0.095557091,0.010779673,0.277862604
function(objc-arc-expand),function(typepromotion),29,29,0.095318118,0.010018279,0.286476364
hipstdpar-math-fixup,function(loop(loop-versioning-licm)),29,29,0.095209051,0.010341733,0.204190134
cgscc(argpromotion),function(loop-unroll),29,29,0.094981310,0.012641751,0.215978389
partial-inliner,function(loop(loop-bound-split)),29,29,0.094921303,0.020367780,0.310484531
pre-isel-intrinsic-lowering,function(loop-unroll),29,29,0.094816447,0.010252465,0.302100292
lower-emutls,function(loop(loop-versioning-licm)),29,29,0.094484779,0.018264705,0.177216363
assign-guid,function(loop(canon-freeze)),29,29,0.094385674,0.010902411,0.299988100
global-merge-func,function(loop(loop-bound-split)),29,29,0.094370732,0.016612684,0.288867660
function(load-store-vectorizer),function(typepromotion),29,29,0.093099801,0.013504723,0.249583693
cgscc(function-attrs),function(loop(loop-bound-split)),29,29,0.092693988,0.011584943,0.248548625
declare-runtime-libcalls,function(loop-unroll),29,29,0.092620328,0.011339049,0.266304119
