filename,baseline_sec,single_speedups,runtime_synergy_pairs,status,output_csv
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll,0.001696746,31,692,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate_n.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll,0.001789062,113,2993,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate_n.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll,0.001956574,133,6564,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.generate_ranges_generate.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll,0.001946359,33,1101,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.move_move.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.pass_-O2.ll,0.001925453,193,1976,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.copy_ranges.copy_backward.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.move_move_backward.pass_-O2.ll,0.001944621,49,3503,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.move_move_backward.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll,0.001564904,13,247,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_partition.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll,0.001975609,176,10051,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.generate_pstl.generate.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_point.pass_-O2.ll,0.001440611,1,0,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_point.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll,0.001908218,70,8693,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_is_partitioned.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.fill_fill.pass_-O2.ll,0.002322423,185,20770,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.fill_fill.pass_-O2.ll.runtime_synergy.csv
yarpgen_seed_40_-O2.ll,5.214170329,27,379,ok,results/runtime_synergy_full_all/yarpgen_seed_40_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.move_contiguous_trivial_optimization.pass_-O2.ll,0.002164987,199,21300,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.move_contiguous_trivial_optimization.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_copy.pass_-O2.ll,0.001931409,39,1042,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_copy.pass_-O2.ll.runtime_synergy.csv
yarpgen_seed_50_-O2.ll,0.913971392,144,6431,ok,results/runtime_synergy_full_all/yarpgen_seed_50_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.stable.pass_-O2.ll,0.004452550,2,0,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.stable.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll,0.001687867,25,354,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.random.sample_sample.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll,0.001581237,176,695,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_partition_copy.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll,0.001696022,27,233,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll,0.001985508,182,7842,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.move_ranges.move_backward.segmented.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll,0.001816936,132,3959,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition_point.pass_-O2.ll.runtime_synergy.csv
yarpgen_seed_45_-O2.ll,0.866276170,193,11992,ok,results/runtime_synergy_full_all/yarpgen_seed_45_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll,0.001698430,188,1486,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_partition.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll,0.001766543,67,613,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_urng.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll,0.001841854,34,1135,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.remove_remove.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll,0.002212751,133,9524,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_stable_partition.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll,0.001737117,41,389,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.remove_remove_copy.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_rand.pass_-O2.ll,0.002060520,132,8741,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.random.shuffle_random_shuffle_rand.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_stable_partition.pass_-O2.ll,0.002435769,176,22018,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.partitions_ranges_stable_partition.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy.pass_-O2.ll,0.001982351,69,1788,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.remove_ranges_remove_copy.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll,0.001968463,138,5592,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove_if.pass_-O2.ll,0.002076495,119,6832,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.remove_ranges.remove_if.pass_-O2.ll.runtime_synergy.csv
libcxx_algorithms_alg.modifying.operations_alg.replace_pstl.replace.pass_-O2.ll,0.001947467,72,4291,ok,results/runtime_synergy_full_all/libcxx_algorithms_alg.modifying.operations_alg.replace_pstl.replace.pass_-O2.ll.runtime_synergy.csv
